Descriptores,2003|T1,2003|T2,2003|T3,2003|T4,2003|Anual,2004|T1,2004|T2,2004|T3,2004|T4,2004|Anual,2005|T1,2005|T2,2005|T3,2005|T4,2005|Anual,2006|T1,2006|T2,2006|T3,2006|T4,2006|Anual,2007|T1,2007|T2,2007|T3,2007|T4,2007|Anual,2008|T1,2008|T2,2008|T3,2008|T4,2008|Anual,2009|T1,2009|T2,2009|T3,2009|T4,2009|Anual,2010|T1,2010|T2,2010|T3,2010|T4,2010|Anual,2011|T1,2011|T2,2011|T3,2011|T4,2011|Anual,2012|T1,2012|T2,2012|T3,2012|T4,2012|Anual,2013|T1,2013|T2,2013|T3,2013|T4,2013|Anual,2014|T1,2014|T2,2014|T3,2014|T4,2014|Anual,2015|T1,2015|T2,2015|T3,2015|T4,2015|Anual,2016|T1,2016|T2,2016|T3,2016|T4,2016|Anual,2017|T1,2017|T2,2017|T3,2017|T4,2017|Anual,2018|T1,2018|T2,2018|T3,2018|T4,2018|Anual,2019|T1,2019|T2,2019|T3,2019|T4,2019|Anual,2020|T1<R>,2020|T2<R>,2020|T3<R>,2020|T4<P>,2020|Anual
Índice de volumen físico base 2013=100|Total,77.50395592946386,83.41688040748593,76.81175199045721,81.44084110610981,79.7933573583792,79.98419988290007,86.77948659197884,80.30009067655051,86.17894238971161,83.31067988528527,78.94753510217024,88.91130892120462,83.27770005545825,86.76626902529463,84.47570327603195,84.41344872350659,93.15377415530565,87.84755689110082,89.94084398651512,88.83890593910705,83.8520505377963,94.21871561117125,89.99943855935851,92.34971255260545,90.10497931523287,83.03634908506889,95.6517854983106,92.88191034240918,95.10865236756777,91.66967432333911,82.17433384358178,87.73860191217634,90.33233291302206,93.28377209033228,88.38226018977811,87.4081301785277,92.09218265239133,90.95011649063514,95.70740352826778,91.53945821245549,90.31001056572045,94.48606598484439,95.33874385781836,99.02627456949513,94.79027374446957,94.68251395789542,98.8697943714098,97.03410689557208,103.55788404029471,98.536074816293,94.15228077443197,101.02619098004106,99.4845087976455,105.33701944788152,100,98.7184092977617,103.55447675036554,101.48920830608628,107.5336454428138,102.82393494925684,103.01242599938767,107.38370015338765,106.73403374728181,112.30817757738866,107.35958436936146,104.81978767315263,110.84659872623301,108.6705970529019,118.18605576002315,110.63075980307768,110.73441209878503,113.53894757398339,111.12182389783554,120.34208313458493,113.93431667629723,110.25092738897018,117.32434856918697,116.51650840049324,123.96116714947729,117.01323787703193,112.92373960693976,115.25226709647033,116.8138350488469,124.81690441663314,117.45168654222256,111.2702586505602,96.73368937489307,103.68606600981668,114.04540314428293,106.4338542948882
Índice de volumen físico base 2013=100|Actividades primarias,108.14054411626977,129.9467790948138,136.74333475594023,131.58167554788025,126.60308337872601,92.03413880216614,145.70773682982852,107.64183073305958,110.94991220128836,114.08340464158564,106.35627334284914,136.859838554018,128.63784686967367,130.0857900646631,125.48493720780097,81.83604666036467,126.82578558340654,117.12569264557689,112.93605493124058,109.68089495514717,86.5444222422757,123.68391647252261,110.372993079401,112.06544275244859,108.16669363666198,84.65573703661816,120.457311028187,113.86670731986189,88.75271711754107,101.93311812555204,89.94173441423779,114.36430813033473,116.46190191992068,118.24877395332737,109.75417960445513,95.8366890570161,123.42098104294699,122.40933516098367,91.83539298781682,108.3755995621909,96.11800884635633,128.177662612277,120.04333658581201,113.21619047551452,114.38879962998998,91.28361678838357,117.35448588874166,111.66380714635167,128.75244146606616,112.26358782238577,63.911835519554785,114.55762826258689,111.15616108337458,110.37437513448376,100,85.43722121111263,110.87542493461189,102.21232599355288,108.12499294660576,101.6624912714708,79.36863723655311,104.44960820318295,102.03944328141425,111.50050486713813,99.33954839707211,69.4861540095938,118.9524636693427,108.60852470932979,111.92164620917188,102.24219714935954,71.84688106667545,112.96800452817737,104.95631529948615,92.64107559639758,95.60306912268413,60.962400188160835,115.78648791905115,110.58017288830828,113.25128656841518,100.14508689098388,66.21533498145908,118.77443945110124,113.76665404618124,114.6209007635713,103.34433231057822,68.02446269134829,121.47678090330017,120.27747969877916,106.84962001485205,104.1570858270699
Índice de volumen físico base 2013=100|Actividades secundarias,95.72990872466869,97.76326267197595,101.33120604968366,101.8624231712032,99.17170015438288,96.15520734086803,99.01092269418473,107.11257755903625,107.91835502469327,102.54926565469556,103.10693406671516,102.68949964182484,102.43110351279547,104.72449548401859,103.2380081763385,107.26629279565839,109.32677468230314,121.25531943672077,116.07004460423056,113.47960787972823,104.59078759829636,106.50496769849667,113.68778063225551,115.00426330709442,109.94694980903574,101.08149771593837,106.58643731081463,104.80331962013167,110.63431443000728,105.776392269223,97.82021703563527,101.10611550754255,104.43426713662247,106.84200632447241,102.55065150106817,96.81389006377808,96.11582521004274,97.33196386367791,100.37729272863116,97.65974296653248,92.78005340672475,102.05121253228009,104.66297436109588,110.15440436351528,102.41216116590401,100.57749768553008,102.32218026464625,111.8616987456977,107.98750102139792,105.68721942931798,97.46985325631174,100.78369170280885,98.40991605351411,103.3365389873653,100,99.53070294889874,101.97237766082165,104.07060561536858,110.72062950942416,104.07357893362827,97.64682042628708,96.27547380946007,98.87640608907626,98.89742181164229,97.92403053411644,96.28408282002965,100.54984298367258,104.21636322256411,110.39757809567728,102.86196678048589,104.98295776641523,102.13783788480836,103.65491629222716,105.17211863497083,103.98695764460541,103.67385172338062,105.63626237567271,102.08514732774023,104.8362655799045,104.05788175167451,99.81486515387996,97.24630302119009,102.0258381181429,107.60943526971023,101.67411039073077,98.54235410632216,70.65284030105636,84.81767920044047,98.31345649464357,88.08158252561566
Índice de volumen físico base 2013=100|Actividades secundarias|21---Minería,111.21438300261653,119.09575441522055,112.28194210502357,132.42881687908007,118.75522410048518,108.39353601747008,117.23841281241587,123.16819954833942,120.25993192989097,117.26502007702908,121.69704652598065,109.32454314166775,95.56301341932495,98.4175355683069,106.25053466382006,114.92092950373276,114.21237437337754,134.0343725634038,126.45336773523412,122.40526104393706,109.29858491620405,114.80521126766715,126.14955711900535,129.44346101242738,119.92420357882598,95.34719442804408,105.72748089971304,95.58473550585929,109.99877682867367,101.66454691557252,99.44775490393751,112.14943498165172,109.05305361117034,108.3008309436601,107.23776861010492,88.67199938223072,92.64056655065643,90.72592727852803,99.77761233792593,92.95402638733529,89.9481502159447,115.49604527518467,112.05903240202527,119.4958661024147,109.24977349889234,107.4810704266287,113.93820919176196,134.5489541682932,118.22680063302514,118.54875860492726,100.81470952658056,102.6318661311677,93.90981159521039,102.64361274704137,100,106.58325263081454,112.41588105091076,115.3055743217754,124.22352450148102,114.63205812624544,108.88155320597083,105.2251407581696,104.11515825185869,108.78169204732335,106.75088606583061,107.5403804829361,122.05645346506672,130.10944092749745,131.77598413175244,122.87056475181319,135.23728401828893,126.49390094391364,116.25792801068519,119.67584754912694,124.41624013050368,120.24081181558238,120.98154372317644,112.86408164812029,119.61539727294969,118.4254586149572,103.40563196333115,106.51598425724697,109.68933783723342,128.4017667727857,112.00318020764932,111.892556794761,90.49366301414274,110.00439984497336,153.09916134827745,116.37244525053865
"Índice de volumen físico base 2013=100|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",51.35657085622821,53.1763704219675,52.987197379778436,54.6211160868161,53.03531368619756,57.755653543530606,57.532248696635016,57.619424454767596,58.920518550846566,57.95696131144494,61.83894045539746,63.690868132243814,64.10571781295266,65.34297201288855,63.744624603370625,66.29220587324262,68.5754971199647,69.60697050607955,71.09253849174264,68.8918029977574,69.78547289915007,69.93042904119253,70.07749505674978,68.64228506354043,69.6089205151582,67.148785324726,64.7247338561264,65.16845052225811,65.58650530068863,65.65711875094979,75.29897813728446,77.41995718423655,77.89304023948517,77.96233875603133,77.14357857925937,88.63147964034846,87.32183350106925,90.52115836009376,90.50435674226594,89.24470706094434,90.29180860269857,91.65088965777444,90.02849193748894,91.9267247053169,90.97447872581971,99.88096958363974,103.60402280398651,100.36115865411826,99.01344847816074,100.71489987997633,97.44250521763853,101.67145610393487,100.7099614116796,100.17607726674697,100,98.10689190917681,100.81814260217055,101.91651099203469,105.40006342250724,101.56040223147234,101.84059201045442,107.07719373589038,106.63378578399276,104.65529158814937,105.05171577962173,99.60188209395969,102.10372219535826,108.06076156001932,107.62578739043722,104.34803830994363,102.5902477347146,106.22274022667388,106.05065183008544,105.54897459271145,105.10315359604634,107.53565591972334,110.93096991060291,111.52682695576495,109.01976343732147,109.75330405585318,107.01843452802153,106.85996378374554,106.96487067139415,105.61148146059924,106.61368761094012,100.98032350788311,92.66771343801804,92.68421825532918,97.84086615501283,96.04328033906079
Índice de volumen físico base 2013=100|Actividades secundarias|23---Construcción,79.11748781739747,81.21539708207226,87.0897445912134,91.02862879015328,84.61281457020911,82.04396514757082,86.95004302772769,98.08993224588643,99.5944327788768,91.66959330001544,100.84688282172765,89.59243848772284,85.7063751190448,89.28056953046028,91.3565664897389,104.36197555720628,100.68402064130902,124.58185192480222,114.79464992784112,111.10562451278965,96.51735177800437,92.33048997453035,108.77585461453361,119.53557297643884,104.28981733587679,90.39379646987442,96.24588814066044,92.27840110825177,106.81368706788983,96.43294319666911,89.55220305107946,97.06864729615069,100.56965848886854,101.87664472717557,97.26678839081856,87.39373520288024,81.34894410459573,82.49906588285675,87.74415052250727,84.74647392821,80.73870434911574,103.5177512638678,107.47455773847423,117.18334927488128,102.22859065658476,98.53478873732708,103.51252416953803,128.26750128865095,119.58671957034362,112.4753834414649,100.24744565758283,99.42643308999968,94.75590409431062,105.57021715810689,100,103.21580859133297,107.00487279499869,111.53935755174658,124.29014322860188,111.51254554167002,100.80944955768362,93.82060661603748,97.73439605151873,97.57915523517927,97.48590186510478,102.13492618174571,106.31818267336337,113.59425651973866,125.04945478699634,111.77420504046103,117.73937233008533,110.30356646126795,111.58263155783705,115.36655580475296,113.74803153848583,115.3735799557223,110.98984814943445,104.04311794271021,112.29622900304514,110.67569376272803,106.47394751316439,98.30253918398972,102.69079391670515,117.07316529977318,106.1351114784081,105.29672803317742,61.52760147247586,79.64923432158332,109.02752522129713,88.87527226213344
Índice de volumen físico base 2013=100|Actividades secundarias|31-33---Industrias manufactureras,109.89539376787249,111.90014495554881,114.27840623794263,112.51266837239675,112.14665333344018,108.24352328053767,110.0120434274805,116.7781063019448,117.09666572453696,113.03258468362498,107.76638590016718,114.17335146368997,116.21192685801394,117.76060814860973,113.9780680926202,112.32531479822771,118.07349068684742,123.12095431810064,120.38778450041544,118.47688607589781,112.50737277345533,118.49443694188975,120.24469814388472,115.6798899480757,116.73159945182638,110.6236636324655,116.51877499612088,115.97712033132122,116.60683004199399,114.93159725047539,104.90807827555774,105.54869462659158,108.99143963556513,112.29350579366317,107.9354295828444,103.53513667989576,106.33238795803194,107.4386710545198,109.29905956306452,106.651313813878,100.74644868433404,101.9061204154047,103.98311325791809,107.03133614594147,103.41675462589959,101.94578664819866,101.44712530170912,102.15543062667795,101.19413184326886,101.68561860496365,95.67740027560302,101.58938156578161,100.59177468100522,102.14144347761021,100,97.25901735220246,98.80809260899035,99.41140648773914,102.36934247283853,99.46196473044262,95.27250646255823,97.01349931077614,99.00639648306398,99.29396841968696,97.64659266902133,92.24307792179935,96.69313617639165,97.84923600461079,101.14458610361292,96.98250905160369,96.9183018864461,96.53520787926622,98.34453553421801,98.55487753278203,97.58823070817809,95.8126375047624,101.75979526919751,100.08005863224172,99.68726949227757,99.3349402246198,94.95446568341809,95.81068949361081,101.20758566770016,101.64478120815691,98.4043805132215,93.98545645526659,74.81619469994956,87.52550946509312,91.40243572870357,86.9323990872532
Índice de volumen físico base 2013=100|Actividades terciarias,75.26780784295784,81.64546384070046,73.79405495702774,78.92737065437244,77.40867432376461,78.00777161898058,85.25954332626966,77.01935917359005,83.51763718047297,80.95107782482832,75.9900390092439,87.20841212683543,80.92115288165282,84.55637438028772,82.16899459950497,81.63020744060688,91.16624671683088,83.762242940974,86.74555078221204,85.82606197015595,81.32375952913023,92.70688645709653,87.10287135200497,89.57943932259576,87.67823916520688,80.83680070431149,94.30698348725748,91.41879391415134,93.22009856788185,89.94566916840054,80.26404028839482,86.09645069700012,88.60094434094285,91.61921609430802,86.64516285516146,86.25784083824749,91.58618651659535,90.15671624849134,95.14033874202448,90.78527058633965,90.00612872400883,93.5473642055568,94.19021646512634,97.66322801527981,93.85173435249293,93.96593834107182,98.43985272574514,95.22007362073056,103.00550137674995,97.65784151607436,93.763230278652,101.04894456721694,99.60958371539924,105.57824143873178,100,98.62610270344895,103.74357392339853,101.1743114213151,107.14502618990396,102.67225355951663,103.6780768134671,108.7386700563689,107.69381403816229,113.94263459685394,108.51329887621304,105.87757288660387,112.09715080433114,109.21336030372397,119.13819857504495,111.58157064242597,111.4547309725936,114.9284177159314,112.03473492087804,122.20439629642325,115.15556997645658,111.07706748378475,118.74927123165828,118.27789751406053,126.29684376017298,118.60026999741915,114.5444600044697,117.44445943279496,118.6172283070596,126.91869089178299,119.38120965902681,112.8428207022859,99.89912197551169,105.9767794030079,115.96589621064103,108.67115457286162
Índice de volumen físico base 2013=100|Actividades terciarias|43-46---Comercio,69.55552983549738,77.38270392510867,79.85564698314825,88.73724651907939,78.88278181570843,70.41608662725068,81.50507928805123,82.58250053473401,98.90963774730638,83.35332604933558,65.78415625636983,88.34462788306593,88.13676653717118,100.50866000188515,85.69355266962303,84.45014872537573,96.40010650240689,89.89765374957722,96.87437400873485,91.90557074652367,80.96542043138635,95.67609768172682,92.46333899658627,95.66725507377572,91.1930280458688,74.02071387943512,93.39630494627062,99.19308431301359,102.50558307132663,92.27892155251149,66.26866239121762,74.16206822412968,84.38304809123109,99.12587159346417,80.98491257501065,81.02650181666161,84.96283675877436,89.63619947115954,108.44213018006592,91.01691705666535,90.81064026326402,94.61735934752475,98.95261174083588,101.91375991610239,96.57359281693175,96.062299129815,97.570144583608,93.11749558675537,111.35714900238779,99.52677207564153,87.22715457146222,104.36250456794085,97.35494727134831,111.05539358924862,100,91.67231527574526,109.0557249964933,100.50231948111407,112.91024208161883,103.53515045874289,94.25684457585527,107.0055625499984,106.29836919033306,109.9200105662411,104.37019672060697,86.37182649131124,100.32494592074508,97.8456921526374,113.75712005392369,99.57489615465434,92.20945569819719,103.57199054580724,100.00320549046293,117.98015589633155,103.44120190769974,93.62098722053702,107.00846568496205,107.3818444611903,122.69305744760352,107.67608870357324,96.40216548964679,103.25867812283691,104.79007103285181,122.69817437981399,106.78727225628737,89.27432226526295,67.93464895518491,88.7087633351245,113.52163753517183,89.85984302268606
Índice de volumen físico base 2013=100|Actividades terciarias|Resto,76.74176881568724,82.74540010841915,72.22995915016391,76.39609081242259,77.02830472167321,79.96668317413443,86.22832206193738,75.58388050091452,79.54598032166622,80.33121651466315,78.6235020252844,86.91523002346148,79.05928045376379,80.44014502286532,81.25953938134374,80.90256719030585,89.81573383027293,82.17909939093454,84.13197173089988,84.2573430356033,81.41622313898742,91.94072951249768,85.71968935467004,88.00857690751596,86.77130472841776,82.59558169387145,94.54196935915722,89.41276398640238,90.82412943733773,89.3436111191922,83.8753212505779,89.17592511607823,89.68930426512321,89.68224502479248,88.10569891414296,87.60770328241836,93.29523482254521,90.29102718616558,91.70802655038173,90.72549796037771,89.79853753019371,93.27126926091107,92.96135737179459,96.56644698904627,93.14940278798639,93.42500633752927,98.66426684870991,95.76260988387287,100.85049375245347,97.17559420564137,95.44975892705118,100.19393398904035,100.1913561924888,104.16495089141966,100,100.42041510696036,102.37285923606045,101.34770807542604,105.65740545214422,102.44959696764778,106.10907345178262,109.1858704241728,108.05388601690882,114.9806076824326,109.58235939382422,110.91071533749111,115.13477791889353,112.14660325579271,120.52669887579475,114.67969884699303,116.42066306253152,117.85876011462864,115.13927654149172,123.29439322602475,118.17827323616913,115.5813267322414,121.77879625506114,121.08944781601438,127.22674254518421,121.41907833712531,119.2257857445137,121.1048709168376,122.18510265759994,128.0077269322694,122.63087156280514,118.9242906231538,108.14703737533829,110.43251172683435,116.59659763837121,113.52510934092442
Variación porcentual anual|Total,NA,NA,NA,NA,NA,3.2001514292941238,4.031085996103883,4.5414127339872294,5.8178442403713575,4.408039269620616,-1.2960869549830392,2.456597074893068,3.7081021376446017,0.6815198925592085,1.3984082141099492,6.923475969531694,4.77156987741661,5.487491648543724,3.658766242783827,5.1650385778002175,-0.6650577534737891,1.1432080616402374,2.4495634761080964,2.678281033755354,1.4251339126053892,-0.9727865299605583,1.5210034204387455,3.2027664052032776,2.9874915023592905,1.736524462906928,-1.0381179459178753,-8.272907342930921,-2.7449666140458504,-1.918732136149785,-3.5861522993586448,6.369137527671825,4.96199009937817,0.6839008333903109,2.5981276095788246,3.5722078343528523,3.3199204482074833,2.5994424971867147,4.825312530122062,3.4677265487064375,3.551272419014367,4.841659706144114,4.639550118711199,1.7782519143340778,4.576168790051142,3.9516723856301468,-0.5600117289864528,2.1810469237254324,2.525299588432887,1.7180105832352837,1.485674344585263,4.84972693786267,2.5026042710290426,2.0150871051878028,2.085331449898419,2.823934949256838,4.349762857983293,3.6977864436059633,5.167865163927004,4.440035595290908,4.411083297233233,1.7545084063700074,3.2247897659504616,1.8143821962218283,5.233704534635677,3.046933772081317,5.642660185570378,2.4288962211640666,2.2556486403956626,1.8242654437504768,2.9861106252003395,-0.43661649585816065,3.334010994541714,4.8547479814743895,3.0073303707439862,2.702365091179985,2.424299079625669,-1.7661137675055443,0.25517984741843236,0.6903268877131126,0.3747000537250216,-1.4642456600666378,-16.067864162773077,-11.23819711384418,-8.629841705091025,-9.380735663913654
Variación porcentual anual|Actividades primarias,NA,NA,NA,NA,NA,-14.893956236050059,12.128779062322877,-21.281844614087447,-15.679815035555137,-9.888920872241656,15.561762979571569,-6.072359964072433,19.50544318470577,17.2473123085108,9.994032525620497,-23.054800541422964,-7.331627069435015,-8.949274653018747,-13.183403909756564,-12.59437395779429,5.753425017525231,-2.47731097933368,-5.765344403648143,-0.7708894908026025,-1.3805515710866558,-2.182330364827294,-2.6087510295264877,3.165370570269417,-20.802778325165832,-5.762934320659625,6.244110042220925,-5.058225894172992,2.2791513526150027,33.23397614601785,7.672738382504704,6.554192757311512,7.919142834572895,5.1067629353610045,-22.33712881956467,-1.2560615433804259,0.2935408058315261,3.854029946233254,-1.932857957328224,23.28165295762841,5.548481477464335,-5.029642328213939,-8.443886791939903,-6.980420303021418,13.722640662345626,-1.8578845258264494,-29.985425897708325,-2.383255829526931,-0.4546200563551679,-14.273955602174823,-10.923922939099555,33.67981144114043,-3.2142803441554406,-8.04618925541449,-2.0379568945575244,1.662491271470799,-7.102974427930235,-5.7955283916328,-0.16914076698490987,3.121860939403035,-2.284955685569116,-12.451370681224134,13.885026201292945,6.437786425195057,0.37770352926705186,2.921946796743228,3.3974064196382443,-5.030966956515186,-3.362728128034206,-17.2268468753047,-6.4935302759355835,-15.14955237710818,2.4949395208364393,5.358284132569651,22.247378756490875,4.7509120888902885,8.616679751920913,2.5805701388395477,2.881602618845136,1.2093586189228205,3.19461045860092,2.7321884128438825,2.2751877126824525,5.722964876821422,-6.779985759097357,0.7864519498264713
Variación porcentual anual|Actividades secundarias,NA,NA,NA,NA,NA,0.44426932174621925,1.2762053844244576,5.705420605097643,5.945206941829468,3.4057755338012328,7.229693448846092,3.71532437789935,-4.370610952444437,-2.959514662676142,0.671621115222905,4.034024255101912,6.463440822702182,18.377441302849775,10.833710936275992,9.920377082339954,-2.4942646265018595,-2.5810758544798347,-6.240995314366003,-0.9182225274145281,-3.1130333781524797,-3.3552571530832864,0.07649372050757108,-7.814789736165466,-3.7998146776681807,-3.793245330640346,-3.2263873745401526,-5.141668997989896,-0.35213816208005255,-3.427786510065175,-3.0495847882055216,-1.028751522285603,-4.935695800841572,-6.800740281590919,-6.050722761802433,-4.7692612996074075,-4.166588755390322,6.175244616863765,7.531966074049137,9.74036195747621,4.8663021783706455,8.404224822573951,0.2655213256583835,6.87800478492575,-1.9671508866467775,3.1979192960379805,-3.0898009005303066,-1.503572888945726,-12.025369579595207,-4.306944776054252,-5.3811799194144925,2.1143457425422554,1.179442762940269,5.752153633355661,7.145672377281471,4.073578933628269,-1.8927652139449833,-5.586712776582019,-4.991034207573847,-10.678414447395753,-5.908846858657242,-1.395578064199384,4.439728006607325,5.400638377447862,11.628368134750673,5.042619487204519,9.034592937490132,1.5793111694800501,-0.5387320311090775,-4.733309870419205,1.0936898246562947,-1.2469700519843627,3.4251992829629927,-1.514418245306743,-0.31933658789549213,0.06820481017581415,-3.7222370977371355,-7.942309928238032,-0.05809778518214159,2.6452389108538483,-2.2908128829994894,-1.2748712785375318,-27.34650253422896,-16.866471508693607,-8.638627971392467,-13.36872072239376
